-03229,1357303442.931073,1357309006.722431,2013-004T12:44:02.931,2013-004T14:16:46.722,-99.881607
-03228,1357309006.722431,1357314570.475659,2013-004T14:16:46.722,2013-004T15:49:30.475,-123.448543
-03227,1357314570.475659,1357320134.193869,2013-004T15:49:30.475,2013-004T17:22:14.193,-147.014138
-03226,1357320134.193869,1357325697.895014,2013-004T17:22:14.193,2013-004T18:54:57.895,-170.578579
-03225,1357325697.895014,1357331261.634685,2013-004T18:54:57.895,2013-004T20:27:41.634,165.857577
-03224,1357331261.634685,1357336825.388671,2013-004T20:27:41.634,2013-004T22:00:25.388,142.292646
-03223,1357336825.388671,1357342389.059805,2013-004T22:00:25.388,2013-004T23:33:09.059,118.727120
-03222,1357342389.059805,1357347957.059805,2013-004T23:33:09.059,2013-005T01:05:57.059,95.162887
00001,1375289435.359200,1375295005.437604,2013-212T16:50:35.359,2013-212T18:23:25.437,39.753566
00002,1375295005.437604,1375300575.509228,2013-212T18:23:25.437,2013-212T19:56:15.509,16.162326
00003,1375300575.509228,1375306145.512766,2013-212T19:56:15.509,2013-212T21:29:05.512,-7.428618
00004,1375306145.512766,1375311715.488603,2013-212T21:29:05.512,2013-212T23:01:55.488,-31.019181
00005,1375311715.488603,1375317285.486670,2013-212T23:01:55.488,2013-213T00:34:45.486,-54.610664
00006,1375317285.486670,1375322855.554933,2013-213T00:34:45.486,2013-213T02:07:35.554,-78.203681
00007,1375322855.554933,1375328425.621590,2013-213T02:07:35.554,2013-213T03:40:25.621,-101.797892
00008,1375328425.621590,1375333995.657375,2013-213T03:40:25.621,2013-213T05:13:15.657,-125.390359
00009,1375333995.657375,1375339565.655914,2013-213T05:13:15.657,2013-213T06:46:05.655,-148.981666
00010,1375339565.655914,1375345135.644253,2013-213T06:46:05.655,2013-213T08:18:55.644,-172.571751
00011,1375345135.644253,1375350705.674908,2013-213T08:18:55.644,2013-213T09:51:45.674,163.838583
00012,1375350705.674908,1375356275.713450,2013-213T09:51:45.674,2013-213T11:24:35.713,140.247774
00013,1375356275.713450,1375361845.670493,2013-213T11:24:35.713,2013-213T12:57:25.670,116.656523
00014,1375361845.670493,1375367415.705717,2013-213T12:57:25.670,2013-213T14:30:15.705,93.066475
00015,1375367415.705717,1375372985.785130,2013-213T14:30:15.705,2013-213T16:03:05.785,69.474810
00016,1375372985.785130,1375378555.838861,2013-213T16:03:05.785,2013-213T17:35:55.838,45.882887
00017,1375378555.838861,1375384125.876996,2013-213T17:35:55.838,2013-213T19:08:45.876,22.291654
00018,1375384125.876996,1375389695.853137,2013-213T19:08:45.876,2013-213T20:41:35.853,-1.299244
00019,1375389695.853137,1375395265.796119,2013-213T20:41:35.853,2013-213T22:14:25.796,-24.889703
00020,1375395265.796119,1375400835.742898,2013-213T22:14:25.796,2013-213T23:47:15.742,-48.480587
00021,1375400835.742898,1375406405.748489,2013-213T23:47:15.742,2013-214T01:20:05.748,-72.073202
00022,1375406405.748489,1375411975.790023,2013-214T01:20:05.748,2013-214T02:52:55.790,-95.667092
00023,1375411975.790023,1375417545.788500,2013-214T02:52:55.790,2013-214T04:25:45.788,-119.260026
00024,1375417545.788500,1375423115.756206,2013-214T04:25:45.788,2013-214T05:58:35.756,-142.851334
00025,1375423115.756206,1375428685.698782,2013-214T05:58:35.756,2013-214T07:31:25.698,-166.441550
00026,1375428685.698782,1375434255.678308,2013-214T07:31:25.698,2013-214T09:04:15.678,169.969030
00027,1375434255.678308,1375439825.686427,2013-214T09:04:15.678,2013-214T10:37:05.686,146.378725
00028,1375439825.686427,1375445395.624074,2013-214T10:37:05.686,2013-214T12:09:55.624,122.787574
00029,1375445395.624074,1375450965.590733,2013-214T12:09:55.624,2013-214T13:42:45.590,99.197468
00030,1375450965.590733,1375456535.634044,2013-214T13:42:45.590,2013-214T15:15:35.634,75.606533
00031,1375456535.634044,1375462105.657084,2013-214T15:15:35.634,2013-214T16:48:25.657,52.014593
00032,1375462105.657084,1375467675.660998,2013-214T16:48:25.657,2013-214T18:21:15.660,28.423234
00033,1375467675.660998,1375473245.620791,2013-214T18:21:15.660,2013-214T19:54:05.620,4.832390
00034,1375473245.620791,1375478815.539303,2013-214T19:54:05.620,2013-214T21:26:55.539,-18.757994
00035,1375478815.539303,1375484385.449186,2013-214T21:26:55.539,2013-214T22:59:45.449,-42.348550
00036,1375484385.449186,1375489955.403756,2013-214T22:59:45.449,2013-215T00:32:35.403,-65.940744
00037,1375489955.403756,1375495525.416433,2013-215T00:32:35.403,2013-215T02:05:25.416,-89.534044
00038,1375495525.416433,1375501095.398298,2013-215T02:05:25.416,2013-215T03:38:15.398,-113.127336
00039,1375501095.398298,1375506665.348969,2013-215T03:38:15.398,2013-215T05:11:05.348,-136.718630
00040,1375506665.348969,1375512235.259675,2013-215T05:11:05.348,2013-215T06:43:55.259,-160.309031
00041,1375512235.259675,1375517805.199317,2013-215T06:43:55.259,2013-215T08:16:45.199,176.101567
00042,1375517805.199317,1375523375.179501,2013-215T08:16:45.199,2013-215T09:49:35.179,152.511712
00043,1375523375.179501,1375528945.114087,2013-215T09:49:35.179,2013-215T11:22:25.114,128.920804
00044,1375528945.114087,1375534515.023616,2013-215T11:22:25.114,2013-215T12:55:15.023,105.330462
00045,1375534515.023616,1375540085.037899,2013-215T12:55:15.023,2013-215T14:28:05.037,81.740162
00046,1375540085.037899,1375545655.048973,2013-215T14:28:05.037,2013-215T16:00:55.048,58.148261
00047,1375545655.048973,1375551225.027281,2013-215T16:00:55.048,2013-215T17:33:45.027,34.556853
00048,1375551225.027281,1375556794.986037,2013-215T17:33:45.027,2013-215T19:06:34.986,10.966046
00049,1375556794.986037,1375562364.887025,2013-215T19:06:34.986,2013-215T20:39:24.887,-12.624448
00050,1375562364.887025,1375567934.770879,2013-215T20:39:24.887,2013-215T22:12:14.770,-36.214722
00051,1375567934.770879,1375573504.683373,2013-215T22:12:14.770,2013-215T23:45:04.683,-59.806353
00052,1375573504.683373,1375579074.674258,2013-215T23:45:04.683,2013-216T01:17:54.674,-83.399154
00053,1375579074.674258,1375584644.643073,2013-216T01:17:54.674,2013-216T02:50:44.643,-106.992840
00054,1375584644.643073,1375590214.583871,2013-216T02:50:44.643,2013-216T04:23:34.583,-130.584426
00055,1375590214.583871,1375595784.482012,2013-216T04:23:34.583,2013-216T05:56:24.482,-154.175145
00056,1375595784.482012,1375601354.391046,2013-216T05:56:24.482,2013-216T07:29:14.391,-177.764690
